"contrast","ecoregion1","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","variable"
"(1970-1992) - (2000-2023)","Marine West Coast Forest",-138.470174272241,11.4254792335819,67,-161.275526271213,-115.664822273269,-12.1194193645067,1.5095311955385e-18,"Rain"
"(1970-1992) - (2000-2023)","Northern Forests",6.74185153037106,5.86114717792673,67,-4.95704720094247,18.4407502616846,1.15026142932583,0.254125253312585,"Rain"
"(1970-1992) - (2000-2023)","Northwestern Forested Mountains",-36.7652478143361,4.9167434215668,67,-46.5791087583824,-26.9513868702899,-7.47756078811619,2.10351102568542e-10,"Rain"
"(1970-1992) - (2000-2023)","Taiga",-18.1707102541355,5.86114717792673,67,-29.869608985449,-6.47181152282196,-3.10019689022091,0.00282777825602609,"Rain"
"(1970-1992) - (2000-2023)","Tundra",-22.7071517064822,18.0652688685368,67,-58.7655792857948,13.3512758728304,-1.25695066437842,0.213135813901401,"Rain"
"(1970-1992) - (2000-2023)","Marine West Coast Forest",90.0899789269263,7.82870601798652,67,74.463816313817,105.716141540035,11.5076461831551,1.59911141404686e-17,"Snowfall"
"(1970-1992) - (2000-2023)","Northern Forests",0.677555036731434,4.01604144964646,67,-7.33849724687477,8.69360732033764,0.168712162268913,0.866531348911529,"Snowfall"
"(1970-1992) - (2000-2023)","Northwestern Forested Mountains",12.7414810802524,3.36893867000173,67,6.01705135073008,19.4659108097747,3.78204601755065,0.000333937837272622,"Snowfall"
"(1970-1992) - (2000-2023)","Taiga",2.50312602460428,4.01604144964646,67,-5.51292625900192,10.5191783082105,0.623281919768193,0.535215333762895,"Snowfall"
"(1970-1992) - (2000-2023)","Tundra",-0.708582904462787,12.3782710743522,67,-25.4157153772595,23.998549568334,-0.0572440933153395,0.954521133842219,"Snowfall"
"(1970-1992) - (2000-2023)","Marine West Coast Forest",-1.74838552157896,0.13729863104868,67,-2.02243473614837,-1.47433630700956,-12.7341802917107,1.4747320007376e-19,"Temperature"
"(1970-1992) - (2000-2023)","Northern Forests",-0.531318806746315,0.0704327116134362,67,-0.671903087523389,-0.390734525969242,-7.54363696321125,1.59948544357522e-10,"Temperature"
"(1970-1992) - (2000-2023)","Northwestern Forested Mountains",-1.10578660633747,0.0590839235009572,67,-1.22371861123397,-0.987854601440969,-18.7155243053477,2.59175885810085e-28,"Temperature"
"(1970-1992) - (2000-2023)","Taiga",-1.00098685322379,0.0704327116134362,67,-1.14157113400086,-0.860402572446713,-14.211959617821,6.68838426843335e-22,"Temperature"
"(1970-1992) - (2000-2023)","Tundra",-1.63136397546987,0.217088196868471,67,-2.06467382997963,-1.19805412096012,-7.51475206391936,1.80298455651354e-10,"Temperature"
"(1970-1992) - (2000-2023)","Marine West Coast Forest",13.6844419081506,1.64406539470561,67,10.4028736457543,16.9660101705469,8.32353868174506,6.28334040127553e-12,"Snowfall timing"
"(1970-1992) - (2000-2023)","Northern Forests",-1.02182304211453,0.843387752190142,67,-2.70523204116867,0.661585956939613,-1.21156969550603,0.229932937024258,"Snowfall timing"
"(1970-1992) - (2000-2023)","Northwestern Forested Mountains",6.63594450386718,0.707493099307859,67,5.22378236723345,8.04810664050092,9.37951834492681,8.04021797470098e-14,"Snowfall timing"
"(1970-1992) - (2000-2023)","Taiga",0.442061055180888,0.843387752190141,67,-1.24134794387325,2.12547005423503,0.524149246930522,0.601904487850001,"Snowfall timing"
"(1970-1992) - (2000-2023)","Tundra",0.495716709081039,2.59949563476672,67,-4.69289829416562,5.6843317123277,0.190697265443004,0.849339440105822,"Snowfall timing"
"(1970-1992) - (2000-2023)","Marine West Coast Forest",2.85843781707793,1.0279357349896,67,0.806669502637559,4.9102061315183,2.78075537193661,0.00703471138369486,"Rainfall Seasonality Index"
"(1970-1992) - (2000-2023)","Northern Forests",1.20077492130175,0.527319905717034,67,0.148239984246722,2.25330985835679,2.27712799817214,0.0259770531619461,"Rainfall Seasonality Index"
"(1970-1992) - (2000-2023)","Northwestern Forested Mountains",1.72479543629582,0.442353109176243,67,0.841854934950975,2.60773593764067,3.89913713844526,0.000226000060409688,"Rainfall Seasonality Index"
"(1970-1992) - (2000-2023)","Taiga",0.36975228790195,0.527319905717034,67,-0.682782649153081,1.42228722495698,0.701191599052518,0.485611787109354,"Rainfall Seasonality Index"
"(1970-1992) - (2000-2023)","Tundra",0.359455400717406,1.62530910542318,67,-2.88467515158065,3.60358595301546,0.221161254507225,0.825639508400438,"Rainfall Seasonality Index"
